hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,M,MT,Mur,F,C,CT,CTM,CTC,G,GT,GTM,GTC,GTG,GTH,D,DT,DN,Hew,N,Tu,Sim,5,5D,5H,4,3,2,1,0,sMa,sHu,sMur,sCT,sGT,sHew,s5,s5D,s5H,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,xMT,xC,xN,xDT,O,Un,BL,Bg,T100,P600,P500
2329,"Bowscale Fell","34A",2320,"Hew,N,W,B","702","2303","NY333305","NY 33339 30541","NY327291","615","87","stone shelter","cairn 50m NE at NY 33381 30610 is lower","Abney level","2001-10-28","","90","5N 5S","333338","530542","54.665538","-3.035037","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2330,"Ullock Pike","34A",2319,"W,B,xN","690","2264","NY244287","NY 24443 28758","NY245286","676","14","cairn","","obvious summit","2007-03-10","","89 90","4S","324442","528759","54.648261","-3.17247","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2331,"Great Calva","34A",2328,"Hu,Hew,N,sMa, W,B","690","2264","NY290311","NY 29089 31187","NY287323","548","142","cairn","","obvious summit","2001-10-28","","89 90","4N","329088","531188","54.670761","-3.101073","E","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2332,"Bannerdale Crags","34A",2320,"Hew,N,W,B","683","2241","NY335290","NY 33529 29026","NY331297","646","37","low pile of stones","Wainwright's cairn is 100m NE at NY 33611 29076","Abney level","2001-10-28","","90","5S","333528","529027","54.65195","-3.031747","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2333,"Bakestall","34A",2319,"W,B","673","2208","NY266308","NY 26634 30855","NY265305","666","7","cairn","this is the Wainwright cairn; summit cairn is 100m S at NY 26644 30746","","2008-06-30","","89 90","4N 4S","326633","530856","54.667426","-3.139049","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2334,"Sale How","34A",2319,"N,B","666","2185","NY276286","NY 27620 28624","NY273286","648","18","rock outcrop","no cairn on summit; grassy mound 5m W is 5cm lower","Abney level","2012-08-15","","89 90","4S","327619","528625","54.647523","-3.123212","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2335,"Tarn Crags Top [Bowscale Fell East Top]","34A",2320,"B,xN","665","2182","NY340310","NY 34045 31047","NY337309","651","14","cairn","note there are other cairns in summit area but all are lower","Abney level","2009-06-08","","90","5N","334044","531048","54.670177","-3.024207","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2336,"Carrock Fell","34A",2328,"Hew,N,sHu,W, B","663","2175","NY341336","NY 34169 33639","NY324342","572","91","large cairn","","obvious summit","2001-10-28","","90","5N","334168","533640","54.693484","-3.02287","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2337,"High Pike (Caldbeck)","34A",2328,"Hew,N,W,B","658","2159","NY318350","NY 31877 35000","NY301335","589","69","large cairn/windshelter","trig point 8m N is slightly lower","","2009-06-08","","90","5N","331876","535001","54.705407","-3.058742","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2338,"Great Sca Fell","34A",2328,"W,B,xN","651","2136","NY291339","NY 29137 33900","NY292335","638","13","cairn","ground within 5m radius of similar height; cairn built since Wainwright volume was published","Abney level","2001-10-28","","89 90","4N","329136","533901","54.695145","-3.100989","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2339,"Little Calva","34A",2328,"N,B","642","2106","NY282314","NY 28230 31482","NY286316","627","15","no feature 4m E of small cairn","SE of fence","Abney level","2001-10-28","","89 90","4N","328229","531483","54.67329","-3.114463","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2340,"Mungrisdale Common","34A",2320,"W","633","2077","NY310292","NY 31054 29228","NY313291","631","2","cairn","ground for about 120m ESE of cairn is of very similar height","Abney level","2007-03-10","","90","5S","331053","529229","54.653432","-3.070147","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,"Hare Stones","34A",2328,"N,B","627","2057","NY315343","NY 31523 34388","NY317346","611","16","small cairn 30m W of path","ground a few metres NW of cairn may be higher; very flat summit area","","2012-08-15","","90","5N","331522","534389","54.69986","-3.064091","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,"Great Lingy Hill","34A",2328,"N,B","616","2021","NY310339","NY 31009 33976","NY311342","598","18","cairn","","","2012-08-15","","90","5N","331008","533977","54.696088","-3.071968","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2343,"Miller Moss [Little Lingy Hill]","34A",2328,"B,xN","609","1998","NY303338","NY 30369 33895","NY306337","590","19","cairn","rock 9m SE of cairn at NY 30372 33889 or ground 20m S at NY 30365 33873 are probably higher","","2009-06-08","","90","4N 5N","330368","533896","54.695272","-3.081876","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2344,"Brae Fell","34A",2328,"W,B","586","1923","NY288351","NY 28875 35159","NY289348","572","14","large cairn","","obvious summit","2008-06-30","","89 90","4N","328874","535160","54.70642","-3.105361","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,"Lord's Seat","34A",,"Ma,5,W,B","552","1811","NY204265","NY 20434 26552","NY206244","315","237","rock 7m S of iron fencepost","","Abney level","2001-10-28","","89 90","4S","320433","526553","54.627823","-3.233984","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,"Meal Fell","34A",2328,"5,W,B","550","1804","NY283337","NY 28301 33763","NY285337","520","30","small cairn","cairn is 2m higher and 65m NE of large shelter (Wainwright/Birkett summit) which is at NY 28258 33711","Abney level","2008-11-10","","89 90","4N","328300","533764","54.693795","-3.113923","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2347,"Great Cockup","34A",2328,"5,sHu,W,B","526","1726","NY273333","NY 27337 33320","NY278334","436","90","cairn","","Abney level","2001-10-28","","89 90","4N","327336","533321","54.689677","-3.128766","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,"Souther Fell","34A",2320,"5,W,B","522","1713","NY354291","NY 35472 29141","NY347279","435","87","rock","","obvious summit","2007-03-10","","90","5S","335471","529142","54.653236","-3.001663","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,"Dodd (Skiddaw)","34A",2319,"Hu,5,W,B","502","1647","NY244273","NY 24442 27350","NY249273","392","110","ground 2m NE of monument","","Abney level","2009-11-20","","89 90","4S","324441","527351","54.63561","-3.172122","E","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,"Longlands Fell","34A",2328,"4,W,B","483","1585","NY275354","NY 27593 35401","NY276350","446","37","cairn","ground 2m SSE is highest point","obvious summit","2014-02-14","","89 90","4N","327592","535402","54.708411","-3.125313","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,"Binsey","34A",,"Ma,4,W,B","447","1467","NY225355","NY 22512 35528","NY251333","205","242","trig point","ground by windshelter 7m W at NY 22507 35528 is 10cm lower although loose rocks are higher; cairn 14m E at NY 22529 35525 is 30cm lower","Abney level","2001-10-28","","89 90","4N","322511","535529","54.708795","-3.204188","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2352,"Latrigg","34A",2319,"3,W,B","368","1207","NY279247","NY 27923 24699","NY280253","295","73","no feature: on path","ground 10-30 metres to N and NW may be as high; ground to E and S falls rapidly","","2012-08-15","","89 90","4S","327922","524700","54.6123","-3.11755","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2353,"Faulds Brow","34A",2328,"WO","344","1129","NY299409","NY 29963 40911","NY285403","318","26","no feature","rise 200m S at NY 29940 40715 with cairn overlooking road is c 2m higher","Abney level","2005-05-10","Synge summit and highest point of hill is 200m S at NY 29940 40715, 15m NW of a large cairn, and is c 2m higher","85","4N","329962","540912","54.758255","-3.089865","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,"St. John's Hill [Caermote Hill N Top]","34A",2351,"WO","285","935","NY196376","NY 19602 37670","NY196372","278","7","knoll","","Abney level","2005-05-10","","89 90","4N","319601","537671","54.727583","-3.249933","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,"Watch Hill [Setmurthy Common]","34A",,"Ma,2,WO","254","833","NY159318","NY 15917 31819","NY161301","97","157","no feature: grassy knoll by forest fence","knoll 250m W of summit at NY 15664 31833 is lower","Abney level","2005-05-10","Location corresponds to the 254m spot at 1:25k but the boundaries are shown incorrectly.  Possibly higher ground a short distance inside forest.","89","4N","315916","531820","54.674412","-3.305448","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2356,"Clints Crags","34A",2351,"WO","245","804","NY159352","NY 15922 35258","NY161353","235","10","no feature","","obvious summit","2010-03-28","Not highest point of fell","89","4N","315920","535259","54.70531","-3.306363","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,"Dunmallet","34C",2598,"2,WO","240","787","NY467246","NY 46777 24636","NY468254","160","80","no feature","trees hamper GPS readings","Abney level","2009-06-08","","90","5S","346776","524637","54.614076","-2.825644","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,"Watch Hill","34A",2355,"WO","235","771","NY149318","NY 14983 31881","NY150318","232","3","ground near memorial plaque","note there is higher ground is 40m E at NY 15025 31871","Abney level","2010-08-23","","89","4N","314981","531882","54.674812","-3.319946","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359,"Scafell Pike","34B",,"Ma,F,Hew,N, W,B, CoH,CoU","978","3209","NY215072","NY 21552 07211","SJ630333","66","912","summit construction (top of stepped cairn)","","","2001-10-28","","89 90","6N","321551","507212","54.454219","-3.211511","E","",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
2360,"Scafell","34B",2359,"Hu,F,Hew,N, W,B","964","3163","NY206064","NY 20682 06478","NY210069","831","133","cairn on rock N of windshelter","","Abney level","2009-11-20","Formerly on Marilyn list","89 90","6N","320681","506479","54.447498","-3.224731","E","",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2361,"Symonds Knott","34B",2359,"N,sHew","959","3146","NY207067","NY 20790 06756","NY207066","938","21","cairn on rock","rocky tor 30m SW at NY 20770 06735 is 2m lower","Abney level","2001-10-28","","89 90","6N","320789","506757","54.450013","-3.22314","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2362,"Ill Crag","34B",2359,"F,Hew,N,B","935","3068","NY223073","NY 22321 07349","NY217074","878","57","rock 2m NE of cairn","rock is about 75cm higher than cairn 30m away on W top at NY 22292 07342","Abney level","2007-03-10","","89 90","6N","322320","507350","54.455578","-3.199689","E","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2363,"Broad Crag","34B",2359,"F,Hew,N,B","934","3064","NY218075","NY 21858 07555","NY220075","882","52","rock","","obvious summit","2001-10-28","","89 90","6N","321857","507556","54.457357","-3.206884","E","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2364,"Great End","34B",2359,"Hew,N,W,B","910","2986","NY226083","NY 22672 08386","NY225080","854","56","East cairn","","","2001-10-28","","89 90","6N","322671","508387","54.464949","-3.194548","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2365,"Bowfell","34B",2359,"Hu,Hew,N,sMa, W,B","902","2959","NY244064","NY 24477 06449","NY233081","756","146","rib of rock 5m NE of cairn","","Abney level","2001-10-28","","89 90","6N","324476","506450","54.447816","-3.166211","E","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2366,"Blunt Top","34B",2359,"xN","901","2956","NY224078","NY 22417 07818","NY224077","891","10","rock","","Abney level","2001-10-28","","89 90","6N","322416","507819","54.459806","-3.198332","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2367,"Great Gable","34B",,"Ma,Hew,N,W, B","899","2949","NY211103","NY 21101 10320","NY219094","474","425","stone on rock","","obvious summit","2001-10-28","","89 90","4S 6N","321100","510321","54.482084","-3.219296","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2368,"Pillar","34B",,"Ma,Hew,N,W, B","892","2927","NY171121","NY 17126 12103","NY191113","544","348","trig point","","obvious summit","2001-10-28","","89 90","4S","317125","512104","54.49747","-3.281134","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2369,"Esk Pike","34B",2359,"Hu,Hew,N,W, B","885","2904","NY236075","NY 23652 07504","NY240071","773","112","rib of rock with small cairn","rib of rock 4mNE is as high; large cairn 30m NE at NY 23671 07527 is lower","Abney level","2009-11-20","","89 90","6N","323651","507505","54.457172","-3.179204","E","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2370,"Bowfell North Top","34B",2359,"N","866","2841","NY244070","NY 24456 07001","NY244069","851","15","cairn","rock 4m N is of similar height to rock in cairn","Abney level","2001-10-28","","89 90","6N","324455","507002","54.452773","-3.166676","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2371,"Crinkle Crags - Long Top [Second Crinkle]","34B",2359,"Hu,Hew,N,W, B","859","2818","NY248048","NY 24866 04872","NY 24814 06017","721","138","cairn","North cairn is higher than South cairn","obvious summit","2009-11-20","","89 90","6N","324865","504873","54.433704","-3.159813","E","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2372,"Grasmoor","34B",,"Ma,Hew,N,W, B","852","2795","NY174203","NY 17485 20351","NY193176","333","519","large windshelter","ground to 10m S as high and ground 100m ENE at NY 17580 20375 could also be as high","Abney level","2001-10-28","","89 90","4S","317484","520352","54.571635","-3.277905","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
